# connections,p50,p75,p95
262,0.257130333,0.270597428,0.279998529
263,0.246927545,0.247608423,0.248954929
264,0.367592419,0.369167,0.378458291
265,0.285856027,0.328859503,0.331756188
266,0.341139976,0.343370717,0.344739771
267,0.347272563,0.365586356,0.367197977
268,0.37321461,0.396035923,0.399542428
269,0.223999136,0.273928335,0.277699792
270,0.244115746,0.247654833,0.262441646
271,0.30778809,0.321055137,0.332776343
272,0.228669957,0.263185769,0.274917995
273,0.229697741,0.269647745,0.320312141
274,0.273746488,0.275647232,0.312761373
275,0.382680439,0.386341113,0.388993241
276,0.320915649,0.343656942,0.348627683
277,0.2555411,0.261926149,0.268896446
278,0.265362875,0.266373427,0.267583281
279,0.300881633,0.395752687,0.39919723
280,0.281270905,0.367134583,0.370305539
281,0.255924096,0.256969218,0.259833034
282,0.200237823,0.302487673,0.343181918
283,0.230205727,0.303756778,0.350437302
284,0.261711153,0.403312555,0.406271055
285,0.215915586,0.351667582,0.353537179
286,0.24104034,0.328058657,0.35681506
287,0.234662008,0.340457128,0.358179192
288,0.247903758,0.321419036,0.338993242
289,0.261291758,0.399266802,0.416875817
290,0.266177892,0.325667168,0.399778582
291,0.264955398,0.272837313,0.275247768
292,0.438531879,0.440966407,0.448031374
293,0.447397752,0.470102573,0.477376797
294,0.411486113,0.416674605,0.419341044
295,0.270940987,0.421976695,0.439036153
296,0.328763026,0.329781049,0.345949624
297,0.373184156,0.382919174,0.428561155
298,0.365434523,0.383639761,0.388150674
299,0.2751224,0.379415642,0.408156894
300,0.368089405,0.402943949,0.423159009
301,0.428219086,0.446306582,0.448694133
302,0.272111367,0.330210813,0.347630522
303,0.260869056,0.279741871,0.324250184
304,0.305286667,0.307386237,0.352788358
305,0.402149602,0.404398844,0.406253147
306,0.309292787,0.345092712,0.401929388
307,0.424472374,0.427743037,0.435644645
308,0.30247773,0.394654315,0.420310171
309,0.414830268,0.417218726,0.423185598
310,0.350042453,0.380193628,0.387413261
311,0.410429875,0.42335734,0.426337216
312,0.415045331,0.419714638,0.432797053
313,0.419385412,0.446521807,0.469377
314,0.455137672,0.495130168,0.509003888
315,0.407696189,0.473730735,0.476656103
316,0.291356962,0.293424753,0.301233872
317,0.384085344,0.386396035,0.38971105
318,0.48085288,0.496283357,0.510509075
319,0.268512799,0.371568586,0.383693841
320,0.383174461,0.458695176,0.46822494
321,0.384283492,0.386493925,0.389089969
322,0.303151107,0.308024572,0.342459721
323,0.422739637,0.444549704,0.447186567
324,0.306605506,0.30905681,0.334324471
325,0.309879174,0.311515957,0.313746659
326,0.408931505,0.414296301,0.42803942
327,0.384534839,0.448428575,0.470355314
328,0.304971567,0.306136396,0.313744465
329,0.304545893,0.305438088,0.307030277
330,0.544485149,0.550343633,0.559511601
331,0.355391626,0.387653743,0.418952039
332,0.430283226,0.450663519,0.475389343
333,0.303860196,0.310942266,0.313175725
334,0.471396162,0.587543564,0.612172895
335,0.540315628,0.546834414,0.55342072
336,0.265923543,0.337695557,0.412351047
337,0.413115465,0.533172637,0.564801622
338,0.588720893,0.595647949,0.608459506
339,0.31975533,0.393663207,0.43522547
340,0.509650611,0.539418325,0.552811333
341,0.320038406,0.322870873,0.330400421
342,0.396251859,0.481280787,0.52731981
343,0.493745831,0.606583345,0.609856802
344,0.390751708,0.408760996,0.414533329
345,0.326976204,0.482751101,0.490427496
346,0.503131324,0.509379953,0.531330388
347,0.341823928,0.393572577,0.440822547
348,0.425726491,0.433124237,0.444068131
349,0.433728501,0.49429532,0.502997607
350,0.478431628,0.522669506,0.525904635
351,0.346591113,0.438641038,0.452638334
352,0.357740576,0.471167306,0.516450348
353,0.548377335,0.55858469,0.573115548
354,0.418582229,0.499344327,0.505340826
355,0.266549269,0.341955281,0.388640873
356,0.381655249,0.481168538,0.49578056
357,0.394288422,0.469825936,0.492551795
358,0.388347569,0.489906305,0.493290246
359,0.512674858,0.530090887,0.538348852
360,0.359486999,0.464136728,0.470792026
361,0.564888119,0.596460888,0.624944707
362,0.4991766,0.512493148,0.538954615
363,0.331466077,0.408188652,0.426088547
364,0.383425881,0.389801324,0.405743938
365,0.680478967,0.703999358,0.709860638
366,0.447866235,0.570263143,0.59505152
367,0.400210486,0.41159135,0.425159643
368,0.468894914,0.518914668,0.529982336
369,0.577759693,0.595101903,0.598294097
370,0.473134835,0.48153472,0.498074605
371,0.436496344,0.450317375,0.464895058
372,0.382051375,0.384282471,0.390247551
373,0.638224411,0.641742507,0.647591663
374,0.444393515,0.507178971,0.528755461
375,0.5185433,0.608920081,0.623466961
376,0.499381016,0.552220773,0.59454223
377,0.455556008,0.544883201,0.561671926
378,0.48231473,0.624637417,0.637552387
379,0.524735992,0.531907841,0.54702842
380,0.621435657,0.665568904,0.694850587
381,0.543196444,0.661548632,0.674013851
382,0.433883437,0.436335564,0.438797352
383,0.480739857,0.515365039,0.523095326
384,0.316838615,0.422825004,0.452663956
385,0.369590285,0.373163599,0.376476461
386,0.448132928,0.575310796,0.596084766
387,0.442911263,0.477624991,0.502700509
388,0.460996063,0.55115855,0.581848477
389,0.385503109,0.420604496,0.438174616
390,0.6808246,0.711915049,0.71717345
391,0.383186371,0.386819671,0.389079928
392,0.563317508,0.619859134,0.648026697
393,0.440777499,0.512248988,0.538301167
394,0.38075427,0.382824153,0.386358765
395,0.39058198,0.414313455,0.450580857
396,0.396056943,0.400249607,0.404915394
397,0.725231812,0.831275318,0.85595371
398,0.551833297,0.626255113,0.655086258
399,0.396537653,0.401544342,0.4239076
400,0.401680938,0.403938948,0.406143921
401,0.587437233,0.640147924,0.649287935
402,0.526885565,0.531350421,0.546310531
403,0.538296698,0.588118987,0.597449923
404,0.386666788,0.390872903,0.394782343
405,0.393923116,0.428080617,0.461628042
406,0.395964433,0.400264683,0.415689597
407,0.40453066,0.443949762,0.477654414
408,0.46496802,0.546398575,0.554767906
409,0.458388417,0.490557586,0.494859228
410,0.646959513,0.664626175,0.671458886
411,0.382219649,0.416589587,0.419318948
412,0.46645777,0.621722263,0.629326647
413,0.479268428,0.48362582,0.495653206
414,0.382019052,0.53690581,0.546176643
415,0.395966776,0.398958711,0.402556321
416,0.499841288,0.502113531,0.504169173
417,0.496686564,0.501711154,0.510248927
418,0.474845677,0.564104639,0.642014883
419,0.654098406,0.682595188,0.700904456
420,0.610495435,0.624416839,0.641193535
421,0.40665748,0.409108833,0.411633005
422,0.693771703,0.698361823,0.702996987
423,0.778483776,0.808934325,0.816574632
424,0.702739177,0.773548409,0.786854444
425,0.547428566,0.58443719,0.608207982
426,0.593307628,0.614840949,0.626785482
427,0.58878583,0.629879841,0.635869255
428,0.608056261,0.759455398,0.768177724
429,0.677238706,0.704411857,0.716992903
430,0.725195989,0.800299598,0.836216647
431,0.859225268,0.925010308,0.948621167
432,0.484549578,0.509791636,0.53211006
433,0.594722555,0.604281847,0.608465208
434,0.748309444,0.801258024,0.820386435
435,0.407889323,0.556151942,0.571969469
436,0.688767734,0.770339315,0.783201508
437,0.541331161,0.60222554,0.623193637
438,0.559221807,0.575922922,0.593125696
439,0.628350092,0.745043138,0.786100687
440,0.614865594,0.636251049,0.657279398
441,0.658447517,0.714497694,0.729497267
442,0.528793366,0.553576885,0.557045462
443,0.862221613,0.966093008,0.987456409
444,0.723006407,0.777502372,0.816023696
445,0.565889713,0.589993846,0.606079273
446,0.79586998,0.801728652,0.809564867
447,0.844286211,0.96617882,0.988162143
448,0.718602032,0.745743594,0.763371668
449,0.689592577,0.729178015,0.735261001
450,0.834334976,0.863357365,0.873416626
451,0.848520123,0.934069926,0.939432795
452,0.801734269,0.870857887,0.894514195
453,0.777819705,0.878311992,0.904500486
454,0.833809659,0.924351373,0.938504169
455,0.781573241,0.874631389,0.899926864
456,0.896781632,0.943546639,0.952795711
457,0.686357438,0.82579666,0.836183965
458,0.665340416,0.730282408,0.753772842
459,0.69319474,0.803032005,0.815659156
460,0.444186914,0.557538218,0.591171825
461,0.79541169,0.843031918,0.858760007
462,0.589976775,0.628843781,0.648149212
463,0.567356263,0.680819673,0.695024092
464,0.463993555,0.466345457,0.469220419
465,0.682254615,0.768817589,0.776702405
466,0.47261504,0.476643087,0.481299728
467,0.667093435,0.775998488,0.795494354
468,0.629029614,0.692779357,0.706331473
469,0.833405586,0.965636,0.975860388
470,0.515337098,0.563275574,0.588675874
471,0.729629091,0.783878162,0.809057192
472,0.471944911,0.483355047,0.487375137
473,0.629599504,0.660934013,0.667836134
474,0.580141294,0.586595572,0.601310258
475,0.721547327,0.820947432,0.83409922
476,0.526056108,0.537809351,0.558488599
477,0.488782484,0.52629155,0.554064587
478,0.923771271,0.966399158,0.992476428
479,0.577977224,0.630914521,0.634956099
480,0.535695784,0.759395637,0.795975115
481,0.598547787,0.611989055,0.637421119
482,0.493560016,0.501280703,0.518151757
483,0.519640996,0.55456588,0.561006882
484,0.519666263,0.690250111,0.696307492
485,0.942097675,0.978964284,1.009301929
486,0.495791768,0.514146581,0.551085575
487,0.62028674,0.651786635,0.677612785
488,0.690339839,0.895023752,0.920714134
489,0.613631511,0.683699888,0.699249384
490,0.772336313,0.876633229,0.900958507
491,0.497094399,0.612588436,0.67452386
492,0.667019361,0.759261287,0.768849353
493,0.603988557,0.612766143,0.622336837
494,0.578560037,0.590332713,0.60488609
495,0.822019111,0.840676906,0.862409863
496,0.49039222,0.540276911,0.545174666
497,0.637819388,0.747555425,0.789004101
498,0.539580988,0.551230423,0.568008172
499,1.069000368,1.122561079,1.160333304
500,0.691717217,0.705397915,0.725377888
501,1.100908013,1.137017827,1.151716134
502,0.694969283,0.723510265,0.749098577
503,0.546001852,0.567443031,0.57617453
504,0.950494862,1.021308401,1.038808837
505,0.596568198,0.705646633,0.74788104
506,0.529373473,0.575344467,0.57987795
507,0.775764928,0.843585936,0.872873103
508,0.909860109,1.035329428,1.0802114760000001
509,1.013075765,1.118543327,1.162122905
510,0.765257077,0.814045036,0.822781806
511,0.772793957,0.781160973,0.785812988
512,0.602964279,0.775459985,0.799664281
513,0.761644678,0.980613328,0.989927128
514,1.002142772,1.057204534,1.098250322
515,0.760268527,0.973085992,1.002416473
516,0.608243677,0.639216119,0.689858279
517,0.941230952,0.960751766,0.970035518
518,0.700059972,0.726044502,0.7884762
519,1.3831306859999999,1.473855255,1.503610549
520,0.83077784,0.903707225,0.927826089
521,0.701993889,0.788926141,0.819071142
522,1.099867499,1.163076085,1.196924548
523,1.0878099940000001,1.145237939,1.19284122
524,1.126650855,1.29436512,1.302342469
525,1.245846126,1.428071088,1.440451018
526,1.13557347,1.2225797489999999,1.247125998
527,1.142690631,1.274459376,1.322531084
528,1.047960282,1.11276033,1.131188544
529,1.156210787,1.2007571,1.2065716499999999
530,0.64102953,0.778752962,0.784462356
531,1.121469243,1.258929569,1.306310645
532,0.539902588,0.663555669,0.738097401
533,0.552242667,0.664335585,0.673183595
534,0.664690835,0.808634454,0.858283809
535,0.85470989,0.92009132,0.937729011
536,0.567486711,0.571421914,0.5784949
537,0.616165873,0.651199835,0.671715451
538,0.879800052,0.930523596,0.96200521
539,0.774973757,0.837542298,0.861307944
540,0.560804866,0.669910456,0.680370381
541,0.662197083,0.68110724,0.713948234
542,0.811381729,0.889144209,0.904766886
543,0.603457484,0.632788407,0.649960182
544,1.077111685,1.130899401,1.13899774
545,0.853930276,0.962153071,0.997760924
546,1.062011385,1.128940353,1.168904992
547,0.762931435,0.904805587,0.980592588
548,0.557493906,0.713251515,0.75524953
549,0.584415877,0.588862545,0.597733674
550,0.748061654,0.806771819,0.815347142
551,0.730874589,0.830067323,0.836940873
552,1.312988241,1.319479294,1.32741844
553,0.735865019,0.793821019,0.826879984
554,0.776492138,0.78857334,0.798312275
555,0.603798865,0.62384455,0.629290772
556,0.73293901,0.888749318,0.920917828
557,1.010275082,1.114944155,1.145829046
558,0.9346871,1.068625822,1.105267575
559,0.919517704,0.988091576,1.025106597
560,0.832787323,0.955513717,0.996984592
561,0.839008234,0.865027035,0.892075591
562,0.701279827,0.804170065,0.837346602
563,0.913711875,1.031655244,1.044272438
564,0.887315171,0.941268978,0.978669642
565,0.664757153,0.794247011,0.829068327
566,0.693069483,0.701744138,0.740762925
567,0.67680276,0.788992068,0.824461277
568,1.410159942,1.439431231,1.460937834
569,0.94550247,1.00948154,1.038772475
570,0.824504216,0.932610715,0.99870812
571,0.703103362,0.710539171,0.778207623
572,1.283687635,1.371543721,1.409779725
573,0.752444277,0.813206805,0.856803018
574,0.611826032,0.944051663,0.954858928
575,0.969580246,0.983346639,1.004270533
576,0.85401532,0.870498311,0.936270161
577,1.071979067,1.32162678,1.348639823
578,1.256848684,1.338702825,1.3725313080000001
579,0.915623501,1.06702395,1.08843258
580,0.750985946,0.762745331,0.840877086
581,0.847050359,0.973268859,1.009406076
582,1.5633619269999999,1.587459452,1.621670272
583,1.510538807,1.5752767410000001,1.591226087
584,1.026034334,1.289420067,1.2964216689999999
585,1.540392156,1.612166626,1.65098437
586,1.55598839,1.644385764,1.670346993
587,1.244023884,1.429949772,1.465571804
588,1.5344234509999999,1.579756401,1.609635322
589,1.600975172,1.6340155790000002,1.639095283
590,1.796216851,1.814347199,1.820191597
591,1.712228939,1.810305687,1.8231747619999998
592,1.634845565,1.814591245,1.826061988
593,0.744131977,0.767025117,0.800061227
594,0.650305677,0.675850876,0.740616438
595,0.937828214,1.059556229,1.092444736
596,1.139454891,1.3713736,1.393568985
597,0.522995652,0.702067126,0.796656189
598,0.680447594,1.021508705,1.070546539
599,0.775227138,0.835640172,0.944063081
600,0.990917689,1.119055377,1.185232123
601,0.702175165,1.005824876,1.016854902
602,0.696191004,0.772881184,0.801477587
603,0.74820992,0.771926853,0.782706487
604,0.824834374,0.832752119,0.930253994
605,0.660377295,0.682438664,0.691388917
606,0.944841916,1.101030568,1.13779233
607,0.861354377,0.991208275,1.035060766
608,1.428529253,1.578411086,1.61635859
609,1.29352793,1.579118668,1.5839748980000001
610,0.769513653,0.792452135,0.801135833
611,0.692485521,0.763183212,0.778178547
612,1.063658551,1.125459815,1.165400454
613,1.502588919,1.512226265,1.547874369
614,0.777694583,0.815724978,0.8738086
615,1.420575575,1.43261032,1.456667956
616,1.085617534,1.172249437,1.263803389
617,1.418518651,1.477277826,1.5032335460000001
618,0.731156534,0.779291551,0.806443157
619,1.111640916,1.376981105,1.393772463
620,0.748656545,0.801032683,0.860836987
621,0.810422043,0.927170688,0.985543399
622,0.809646788,0.814878072,0.836434303
623,1.016126181,1.212046312,1.217586798
624,1.079148766,1.335266555,1.350291677
625,0.667943617,0.710083116,0.720396362
626,0.809969569,0.849019957,0.891758585
627,0.652632679,0.78332226,0.808435742
628,1.5307921549999999,1.554782695,1.566722049
629,1.876350658,1.880404121,1.8853913599999998
630,0.863674112,0.91059255,0.954811014
631,1.910720711,1.930961104,1.941384918
632,1.140571149,1.180812483,1.193592902
633,1.9962329030000001,2.096341718,2.104139342
634,1.744008831,1.872967711,1.912166918
635,1.052300641,1.11230944,1.133231516
636,2.014698646,2.037170534,2.046284193
637,1.680409678,1.979406731,1.996000963
638,0.864814063,0.880678512,0.918396804
639,1.678963046,1.754753668,1.770522707
640,1.864361385,1.883759197,1.889388316
641,1.747555325,1.937796199,1.9482351530000002
642,0.795707274,0.81601456,0.839689327
643,1.399638606,1.4905229580000001,1.531395415
644,1.75742266,1.9678639869999999,2.018976474
645,0.849491913,0.911970219,0.941784038
646,0.720370807,0.738960642,0.759064253
647,1.800270245,1.874764961,1.920785943
648,0.851870802,0.877064094,0.928723509
649,0.830849703,0.928925553,1.02281454
650,0.871071703,0.938354686,0.981673393
651,1.095769609,1.332599817,1.345530107
652,1.068179111,1.204817394,1.237941689
653,0.96663763,1.049285688,1.076213267
654,1.061205368,1.2677045439999999,1.324124493
655,1.051438971,1.216934286,1.2660506040000001
656,0.765634581,0.773617776,0.786181646
657,1.055960435,1.072777409,1.101436918
658,0.812223696,1.081652946,1.124200664
659,0.860451422,0.895515758,0.941732141
660,0.979584372,1.185566258,1.199254431
661,1.8410046279999999,1.884995727,1.8976832080000001
662,1.4382373,1.666795403,1.753891128
663,1.185828599,1.281757166,1.299254689
664,1.412335745,1.602300213,1.683850175
665,1.331972827,1.488269807,1.499397583
666,0.906892854,0.927400506,0.939288023
667,1.316457385,1.419176641,1.476125812
668,0.80161508,0.826796009,0.883832053
669,1.4608896310000001,1.601521788,1.6714218920000001
670,1.195425046,1.265553511,1.280372221
671,1.38951769,1.4140262940000001,1.4260036999999999
672,2.135370723,2.221088219,2.234446226
673,1.218857063,1.363859776,1.4693330279999999
674,2.349648771,2.382063619,2.396992379
675,2.17068115,2.2531845,2.287546674
676,2.107728904,2.173989602,2.236615177
677,1.901874061,2.158238248,2.253117674
678,2.122181165,2.230940788,2.292369645
679,2.157842413,2.177542546,2.196247582
680,2.380427162,2.389069689,2.3943073249999998
681,1.385886605,1.472179682,1.489307202
682,0.969916773,1.014485408,1.050880782
683,1.454872054,1.559166066,1.6088637719999999
684,0.819007495,0.903770322,1.000187336
685,1.652158167,1.797038815,1.851234116
686,1.431491483,1.605130737,1.614606396
687,0.979150128,1.203936804,1.221676584
688,1.527453486,1.5562517900000001,1.599085608
689,1.8428656220000001,2.085509331,2.101525451
690,1.3358582110000001,1.514028113,1.56221518
691,0.799618132,0.855259884,0.863470075
692,2.009492326,2.076567731,2.089262286
693,1.113081011,1.185998582,1.241947704
